,Date,Confirmed,Fatal,Infected,Recovered
0,2020-03-23,33,0,30,3
1,2020-03-24,37,0,34,3
2,2020-03-25,43,0,39,4
3,2020-03-26,49,0,45,4
4,2020-03-27,56,0,51,5
5,2020-03-28,65,1,58,6
6,2020-03-29,74,1,67,6
7,2020-03-30,84,1,76,7
8,2020-03-31,96,1,87,8
9,2020-04-01,110,1,100,9
10,2020-04-02,127,2,114,11
11,2020-04-03,144,2,130,12
12,2020-04-04,166,3,149,14
13,2020-04-05,189,3,170,16
14,2020-04-06,216,4,194,18
15,2020-04-07,247,4,222,21
16,2020-04-08,282,5,254,23
17,2020-04-09,323,6,290,27
18,2020-04-10,368,6,332,30
19,2020-04-11,421,7,379,35
20,2020-04-12,482,9,433,40
21,2020-04-13,550,10,495,45
22,2020-04-14,557,18,415,124
23,2020-04-15,622,20,461,141
24,2020-04-16,692,22,511,159
25,2020-04-17,772,24,568,180
26,2020-04-18,860,27,630,203
27,2020-04-19,958,30,700,228
28,2020-04-20,1066,33,777,256
29,2020-04-21,1185,36,862,287
30,2020-04-22,1319,40,957,322
31,2020-04-23,1466,44,1062,360
32,2020-04-24,1631,49,1179,403
33,2020-04-25,1814,54,1309,451
34,2020-04-26,2016,60,1453,503
35,2020-04-27,2241,66,1613,562
36,2020-04-28,2164,77,1427,660
37,2020-04-29,2318,83,1515,720
38,2020-04-30,2482,90,1608,784
39,2020-05-01,2656,98,1707,851
40,2020-05-02,2840,105,1812,923
41,2020-05-03,3037,114,1924,999
42,2020-05-04,3244,122,2042,1080
43,2020-05-05,3466,132,2168,1166
44,2020-05-06,3699,141,2301,1257
45,2020-05-07,3948,152,2442,1354
46,2020-05-08,4213,163,2593,1457
47,2020-05-09,4493,175,2752,1566
48,2020-05-10,4789,187,2921,1681
49,2020-05-11,5105,200,3101,1804
50,2020-05-12,5087,212,2944,1931
51,2020-05-13,5405,226,3093,2086
52,2020-05-14,5740,240,3250,2250
53,2020-05-15,6091,255,3415,2421
54,2020-05-16,6462,271,3589,2602
55,2020-05-17,6848,287,3770,2791
56,2020-05-18,7257,305,3962,2990
57,2020-05-19,7684,323,4162,3199
58,2020-05-20,8495,346,4473,3676
59,2020-05-21,8933,369,4531,4033
60,2020-05-22,9378,392,4590,4396
61,2020-05-23,9826,415,4649,4762
62,2020-05-24,10282,439,4709,5134
63,2020-05-25,10743,463,4770,5510
64,2020-05-26,11209,487,4831,5891
65,2020-05-27,11683,512,4894,6277
66,2020-05-28,12161,536,4957,6668
67,2020-05-29,12647,562,5020,7065
68,2020-05-30,13138,587,5085,7466
69,2020-05-31,13635,613,5150,7872
70,2020-06-01,14285,628,5645,8012
71,2020-06-02,15019,654,5966,8399
72,2020-06-03,15794,681,6305,8808
73,2020-06-04,16613,710,6663,9240
74,2020-06-05,17478,740,7042,9696
75,2020-06-06,18392,772,7441,10179
76,2020-06-07,19358,806,7863,10689
77,2020-06-08,20378,842,8309,11227
78,2020-06-09,21457,880,8780,11797
79,2020-06-10,22595,920,9277,12398
80,2020-06-11,23798,962,9802,13034
81,2020-06-12,25068,1007,10356,13705
82,2020-06-13,26410,1054,10941,14415
83,2020-06-14,27828,1104,11559,15165
84,2020-06-15,29323,1156,12211,15956
85,2020-06-16,29030,1132,11645,16253
86,2020-06-17,30102,1166,11970,16966
87,2020-06-18,31205,1200,12305,17700
88,2020-06-19,32338,1236,12648,18454
89,2020-06-20,33502,1273,13001,19228
90,2020-06-21,34698,1310,13363,20025
